"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,percentage_of_population,annual_change
12/31/2000,57.7486,
12/31/2001,59.4884,1.74
12/31/2002,60.1104,0.62
12/31/2003,60.729,0.62
12/31/2004,61.3438,0.61
12/31/2005,61.9547,0.61
12/31/2006,62.5619,0.61
12/31/2007,63.1656,0.6
12/31/2008,63.7654,0.6
12/31/2009,64.3615,0.6
12/31/2010,64.9561,0.59
12/31/2011,65.5486,0.59
12/31/2012,66.1386,0.59
12/31/2013,66.7258,0.59
12/31/2014,67.3097,0.58
12/31/2015,67.8898,0.58
12/31/2016,68.4657,0.58
12/31/2017,69.037,0.57
12/31/2018,69.6033,0.57
12/31/2019,70.1641,0.56
12/31/2020,70.6733,0.51
12/31/2021,71.1463,0.47
12/31/2022,71.6117,0.47
